               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.02766,            0.012604,             0.02759,             0.63898,             0.77755,             0.72223,             0.50402,            0.015471,           0.0036775,            0.015797,             0.00802,             0.00802,             0.00802
                  82,            0.027581,            0.012844,            0.026199,             0.62191,              0.8079,             0.73322,             0.53311,            0.014657,           0.0035618,            0.013443,           0.0079953,           0.0079953,           0.0079953
                  83,            0.026519,            0.012653,            0.027487,             0.59398,             0.76068,             0.73974,             0.51433,             0.01468,           0.0037107,            0.013806,           0.0079705,           0.0079705,           0.0079705
                  84,            0.027119,            0.012416,            0.027925,             0.61895,             0.77345,              0.7207,             0.50787,            0.014586,           0.0036623,            0.014317,           0.0079457,           0.0079457,           0.0079457
                  85,            0.026403,              0.0127,             0.02634,             0.61852,             0.66641,             0.67716,             0.45599,             0.01572,           0.0039369,            0.016919,            0.007921,            0.007921,            0.007921
                  86,            0.026991,            0.012808,            0.027693,             0.60315,             0.77286,             0.76967,             0.53091,            0.015114,            0.003647,            0.013745,           0.0078963,           0.0078963,           0.0078963
                  87,            0.027377,            0.012527,            0.028904,             0.60422,              0.7608,              0.7428,             0.51723,            0.015166,           0.0036209,              0.0158,           0.0078715,           0.0078715,           0.0078715
                  88,            0.027673,            0.012808,            0.027229,             0.64747,             0.78315,             0.72652,             0.50287,            0.015033,           0.0035087,            0.015002,           0.0078467,           0.0078467,           0.0078467
                  89,            0.027409,            0.012883,            0.026375,             0.66997,             0.74466,             0.72688,             0.52019,            0.014189,           0.0034572,            0.014547,            0.007822,            0.007822,            0.007822
                  90,            0.026634,            0.012071,            0.024595,              0.6156,             0.75047,             0.70348,             0.49771,            0.014003,           0.0035273,            0.014495,           0.0077973,           0.0077973,           0.0077973
                  91,            0.026808,            0.011875,            0.026665,             0.61125,             0.79306,             0.72756,             0.50858,             0.01428,           0.0035671,            0.014762,           0.0077725,           0.0077725,           0.0077725
                  92,            0.027191,            0.012852,            0.026761,             0.60882,             0.78367,              0.7077,             0.50046,            0.014862,           0.0036815,            0.014054,           0.0077478,           0.0077478,           0.0077478
                  93,            0.027814,            0.012357,             0.02706,             0.60778,             0.75098,             0.69031,             0.48881,            0.014341,           0.0037746,            0.014664,            0.007723,            0.007723,            0.007723
                  94,             0.02616,            0.012976,            0.026045,              0.6323,             0.75095,             0.71765,             0.50681,            0.014692,           0.0035567,            0.014394,           0.0076983,           0.0076983,           0.0076983
                  95,            0.027976,            0.012621,            0.024725,             0.66085,             0.75724,             0.73532,             0.52541,            0.014124,           0.0035991,            0.013068,           0.0076735,           0.0076735,           0.0076735
                  96,            0.026308,            0.012883,            0.026824,             0.64571,             0.75558,             0.71988,             0.49784,            0.014944,           0.0038173,            0.014197,           0.0076488,           0.0076488,           0.0076488
                  97,            0.025871,            0.012224,            0.024041,              0.6384,             0.74961,             0.70811,             0.51114,            0.015071,           0.0035919,            0.015782,            0.007624,            0.007624,            0.007624
                  98,            0.026876,             0.01222,             0.02684,             0.64768,             0.75533,             0.70445,             0.49293,            0.014705,           0.0036955,            0.016282,           0.0075993,           0.0075993,           0.0075993
                  99,            0.026515,            0.012719,            0.027681,             0.61502,             0.76487,             0.72556,             0.50981,            0.014361,           0.0034861,            0.014111,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026146,            0.012763,             0.02482,             0.64439,             0.75715,             0.72862,             0.51789,            0.014581,           0.0034789,             0.01439,           0.0075498,           0.0075498,           0.0075498
                 101,            0.027284,            0.012255,            0.026012,             0.63019,             0.78483,              0.7269,             0.51915,            0.014102,           0.0035187,            0.013296,            0.007525,            0.007525,            0.007525
                 102,            0.025389,            0.012059,            0.024341,             0.65077,              0.7638,             0.76561,             0.54597,            0.013747,           0.0034964,            0.012481,           0.0075003,           0.0075003,           0.0075003
                 103,             0.02576,            0.012349,            0.026713,             0.64762,             0.80441,             0.75166,             0.54546,            0.014184,           0.0035353,            0.012436,           0.0074755,           0.0074755,           0.0074755
                 104,            0.027147,            0.012236,            0.025933,             0.66256,             0.75529,             0.74646,             0.53637,            0.014027,           0.0035812,            0.014511,           0.0074507,           0.0074507,           0.0074507
                 105,            0.026705,            0.012832,            0.025997,             0.65612,             0.75294,             0.72626,             0.52242,             0.01392,           0.0034509,            0.014889,            0.007426,            0.007426,            0.007426
                 106,            0.026025,            0.012211,            0.025658,             0.66602,             0.76679,             0.74142,              0.5233,            0.013948,           0.0034861,            0.013764,           0.0074013,           0.0074013,           0.0074013
                 107,             0.02552,            0.012531,            0.023321,             0.68978,             0.77315,             0.76185,             0.54733,            0.014356,           0.0035686,            0.013089,           0.0073765,           0.0073765,           0.0073765
                 108,            0.025163,            0.011933,            0.023354,               0.712,              0.7481,             0.75515,             0.54927,            0.013813,           0.0035245,            0.011697,           0.0073517,           0.0073517,           0.0073517
                 109,            0.026049,            0.012124,             0.02641,             0.66973,             0.72958,             0.73236,             0.52661,            0.014401,           0.0035329,            0.013762,            0.007327,            0.007327,            0.007327
                 110,            0.026145,            0.012674,            0.025151,             0.63325,             0.80432,             0.75051,             0.54452,            0.014456,           0.0035723,            0.012882,           0.0073023,           0.0073023,           0.0073023
                 111,            0.024999,            0.012281,            0.022488,             0.63312,             0.78572,             0.71552,             0.52029,             0.01444,            0.003481,            0.014523,           0.0072775,           0.0072775,           0.0072775
                 112,            0.026104,            0.012146,            0.023222,             0.62969,             0.77229,             0.75134,             0.54836,            0.013799,           0.0034201,            0.012942,           0.0072527,           0.0072527,           0.0072527
                 113,            0.026217,            0.012504,            0.024152,             0.65007,             0.80597,              0.7512,             0.53858,            0.013614,           0.0034351,            0.013252,            0.007228,            0.007228,            0.007228
                 114,             0.02628,            0.012305,            0.023621,             0.63436,              0.7829,             0.75986,             0.55694,            0.013538,           0.0034632,             0.01276,           0.0072033,           0.0072033,           0.0072033
                 115,            0.026157,            0.012081,            0.022813,             0.65529,             0.74469,             0.72576,             0.53186,              0.0136,           0.0034205,            0.014313,           0.0071785,           0.0071785,           0.0071785
                 116,              0.0262,            0.012315,            0.023573,             0.65372,             0.75481,             0.72066,             0.52305,            0.013939,           0.0035816,            0.015387,           0.0071538,           0.0071538,           0.0071538
                 117,            0.026044,            0.012426,            0.022917,             0.70874,             0.74978,             0.76043,             0.54316,            0.014528,           0.0035372,             0.01222,            0.007129,            0.007129,            0.007129
                 118,            0.027012,            0.012139,             0.02426,             0.67367,             0.79562,              0.7513,             0.53531,            0.014002,           0.0035302,            0.012788,           0.0071042,           0.0071042,           0.0071042
                 119,            0.026094,            0.012065,            0.023285,             0.65311,             0.83804,             0.75749,             0.54807,            0.013633,           0.0035757,             0.01198,           0.0070795,           0.0070795,           0.0070795
                 120,             0.02692,            0.012183,            0.024057,             0.65854,             0.75855,              0.7281,             0.52652,            0.013485,           0.0034796,            0.014693,           0.0070547,           0.0070547,           0.0070547
                 121,            0.025737,             0.01199,            0.022847,             0.62749,             0.79874,             0.75859,             0.55299,            0.013503,           0.0034442,            0.012675,             0.00703,             0.00703,             0.00703
                 122,            0.025111,            0.012071,            0.022459,             0.72123,             0.74395,             0.77705,             0.56669,            0.014196,           0.0035324,            0.012859,           0.0070053,           0.0070053,           0.0070053
                 123,            0.026304,            0.012093,            0.023579,             0.64485,             0.78155,             0.77581,              0.5533,            0.013971,           0.0034413,            0.012039,           0.0069805,           0.0069805,           0.0069805
                 124,              0.0264,            0.012343,             0.02268,             0.73506,              0.7479,             0.77631,             0.55989,            0.014041,           0.0035284,            0.011572,           0.0069558,           0.0069558,           0.0069558
                 125,            0.024988,            0.011769,            0.022741,             0.70457,             0.78486,              0.7481,             0.53283,            0.014222,           0.0035008,            0.013408,            0.006931,            0.006931,            0.006931
                 126,             0.02596,            0.011745,            0.022885,             0.69976,             0.81125,             0.77353,             0.56064,              0.0139,           0.0034784,             0.01317,           0.0069063,           0.0069063,           0.0069063
                 127,            0.026206,            0.012148,            0.024624,             0.66125,             0.80364,             0.75633,             0.55347,            0.013853,           0.0034392,            0.011768,           0.0068815,           0.0068815,           0.0068815
                 128,            0.025225,            0.012248,            0.023636,              0.6867,              0.7688,             0.76478,             0.56313,            0.013355,            0.003521,            0.011637,           0.0068568,           0.0068568,           0.0068568
                 129,            0.025862,            0.012632,            0.023393,             0.68179,             0.81016,             0.78203,             0.58224,            0.013662,           0.0035284,            0.011625,            0.006832,            0.006832,            0.006832
                 130,            0.024551,            0.012002,            0.022153,             0.69975,             0.76615,             0.79227,             0.58901,            0.013206,           0.0033457,            0.012186,           0.0068073,           0.0068073,           0.0068073
                 131,            0.025033,            0.011948,             0.02114,             0.66871,             0.74628,             0.75808,              0.5703,            0.013184,            0.003369,            0.013282,           0.0067825,           0.0067825,           0.0067825
                 132,            0.026397,            0.012389,            0.022256,              0.6774,             0.80181,             0.76511,             0.57901,            0.012848,           0.0033089,            0.011689,           0.0067577,           0.0067577,           0.0067577
                 133,            0.024078,            0.012126,            0.020477,             0.66684,             0.82512,             0.74404,             0.54128,            0.013916,           0.0034943,            0.012195,            0.006733,            0.006733,            0.006733
                 134,            0.025574,            0.012002,            0.024333,             0.69793,             0.77923,             0.74436,             0.53806,            0.013474,           0.0035749,            0.011722,           0.0067082,           0.0067082,           0.0067082
                 135,             0.02546,            0.012495,            0.022172,             0.67486,             0.78206,             0.76176,             0.55306,            0.013341,           0.0034024,            0.011764,           0.0066835,           0.0066835,           0.0066835
